Hit Count,Page No,Product URL,Product Name,Product Price,Rating,Number of Reviews
32,2,https://www.amazon.in//Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679491441&sprefix=ba%2Caps%2C283&sr=8-36,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","1,599",4.3,400
33,3,https://www.amazon.in//Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-35,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",549,4.2,"1,599"
34,3,https://www.amazon.in//Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-36,DEIN KLEIDER Men's Nylon Messenger Bag,349,4.0,"4,570"
35,3,https://www.amazon.in//Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-37,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,239,4.0,"3,127"
36,3,https://www.amazon.in//Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-38,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,099",4.3,393
37,3,https://www.amazon.in//Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-39,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,748,4.1,"1,047"
38,3,https://www.amazon.in//ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-40,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),499,3.9,573
39,3,https://www.amazon.in//American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-41,American Tourister Casual Backpack,"1,139",4.1,"14,484"
40,3,https://www.amazon.in//AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-42,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,4.3,"8,912"
41,3,https://www.amazon.in//NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-45,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,198,4.1,"1,007"
